
 HC AEROSOL PARAMETERS

    Z        AERSOL     RPAR      RFRAC      WFALL     TAUSED    TAUEDD    TAUC      CONVER
  2.500E+04 3.215E-02 1.300E-07 1.300E-07 1.097E-06 6.996E+11 5.891E+06 7.910E+10 6.985E+01
  1.250E+05 3.460E-02 1.300E-07 1.300E-07 1.243E-06 6.052E+11 5.662E+06 7.423E+10 6.985E+01
  2.250E+05 4.431E-02 1.300E-07 1.300E-07 1.413E-06 5.212E+11 5.421E+06 5.859E+10 6.985E+01
  3.250E+05 5.866E-02 1.300E-07 1.300E-07 1.610E-06 4.471E+11 5.184E+06 4.475E+10 6.985E+01
  4.250E+05 7.603E-02 1.300E-07 1.300E-07 1.842E-06 3.811E+11 4.926E+06 3.496E+10 6.985E+01
  5.250E+05 9.576E-02 1.300E-07 1.300E-07 2.114E-06 3.223E+11 4.643E+06 2.817E+10 6.985E+01
  6.250E+05 1.174E-01 1.300E-07 1.300E-07 2.438E-06 2.701E+11 4.337E+06 2.337E+10 6.985E+01
  7.250E+05 1.407E-01 1.300E-07 1.300E-07 2.829E-06 2.240E+11 4.014E+06 1.989E+10 6.985E+01
  8.250E+05 1.650E-01 1.300E-07 1.300E-07 3.306E-06 1.836E+11 3.686E+06 1.733E+10 6.985E+01
  9.250E+05 1.892E-01 1.300E-07 1.300E-07 3.897E-06 1.488E+11 3.361E+06 1.546E+10 6.985E+01
  1.025E+06 2.177E-01 1.300E-07 1.300E-07 4.639E-06 1.190E+11 3.809E+06 1.377E+10 6.985E+01
  1.125E+06 2.836E-01 1.300E-07 1.300E-07 5.572E-06 9.623E+10 9.583E+06 1.072E+10 6.985E+01
  1.225E+06 4.651E-01 1.300E-07 1.300E-07 6.705E-06 7.948E+10 1.670E+07 6.559E+09 6.985E+01
  1.325E+06 8.121E-01 1.300E-07 1.300E-07 8.079E-06 6.552E+10 3.502E+07 3.769E+09 6.985E+01
  1.425E+06 1.418E+00 1.300E-07 1.300E-07 9.748E-06 5.387E+10 4.754E+07 2.168E+09 6.985E+01
  1.525E+06 2.128E+00 1.300E-07 1.300E-07 1.178E-05 4.417E+10 5.888E+07 1.451E+09 6.985E+01
  1.625E+06 2.908E+00 1.300E-07 1.300E-07 1.427E-05 3.614E+10 6.644E+07 1.067E+09 6.985E+01
  1.725E+06 3.646E+00 1.300E-07 1.300E-07 1.731E-05 2.950E+10 6.681E+07 8.550E+08 6.985E+01
  1.825E+06 4.265E+00 1.300E-07 1.300E-07 2.104E-05 2.402E+10 6.547E+07 7.345E+08 6.985E+01
  1.925E+06 4.745E+00 1.300E-07 1.300E-07 2.562E-05 1.951E+10 6.097E+07 6.638E+08 6.985E+01
  2.025E+06 5.036E+00 1.300E-07 1.300E-07 3.128E-05 1.581E+10 5.317E+07 6.289E+08 6.985E+01
  2.125E+06 5.151E+00 1.300E-07 1.300E-07 3.827E-05 1.278E+10 4.691E+07 6.181E+08 6.985E+01
